"nGraphs"	"nLSC"	"nDirectOrig"	"nL2OOrig"	"nLSCDirect"	"nLSCL2O"	"nDirectLatent"	"nL2OLatent"	"nPure2Orig"	"nPure1Orig"	"nPure2Latent"	"nPure1Latent"
"0.02"	1000	957	587	863	854	928	894	969	637	943	919	998
"0.04"	1000	922	335	663	738	846	801	914	415	813	858	983
"0.06"	1000	873	179	545	607	759	699	874	249	704	779	974
"0.08"	1000	820	94	386	543	709	643	849	133	545	721	955
"0.1"	1000	800	50	294	464	661	559	811	76	450	633	925
"0.12"	1000	739	20	186	349	573	475	777	40	335	563	920
"0.14"	1000	725	5	139	330	562	444	755	22	252	531	896
"0.16"	1000	657	6	76	288	502	406	724	17	169	491	872
"0.18"	1000	610	1	68	222	432	336	671	9	148	416	843
"0.2"	1000	559	0	40	197	378	321	633	2	102	400	789
